Boro,street,fromSt,avg_vol,lat,lon,geometry
Bronx,BROADWAY BET W 252ND ST & LAKEVIEW PL,W 252 ST,46.0,40.8985455,-73.8977654,POINT (-73.8977654 40.8985455)
Bronx,BRONX PARK SOUTH,Mohegan Avenue,28.333333333333332,40.8472358,-73.8820011,POINT (-73.8820011 40.8472358)
Bronx,BRONX RIVER AVENUE,Dead End,86.65625,40.8148483,-73.8682814,POINT (-73.8682814 40.8148483)
Bronx,BRONX RIVER PARKWAY,Bronx Rvr Py Nb En Pelham Py Eb,694.484375,40.8725696,-73.8717253,POINT (-73.8717253 40.8725696)
Bronx,BRONX RIVER PARKWAY,Dead End,463.0470829068577,40.8725696,-73.8717253,POINT (-73.8717253 40.8725696)
Bronx,BRONX RIVER SHORELINE,White Plains Road Line,412.1458333333333,40.8409821,-73.8738849,POINT (-73.8738849 40.8409821)
Bronx,BRONXDALE AV,BARNES AV,50.81654135338346,40.84968689999999,-73.8639226,POINT (-73.8639226 40.84968689999999)
Bronx,BRONXDALE AVENUE,Barnes Avenue,58.711711711711715,40.84968689999999,-73.8639226,POINT (-73.8639226 40.84968689999999)
Bronx,BRONXDALE AVENUE,Sackett Avenue,60.019287833827896,40.8431601,-73.8557641,POINT (-73.8557641 40.8431601)
Bronx,BRONXWOOD AVENUE,Mace Avenue,14.07089552238806,40.8631137,-73.8616516,POINT (-73.8616516 40.8631137)
Bronx,BROOK AVENUE,East 164 Street,28.06508875739645,40.8264367,-73.9117912,POINT (-73.9117912 40.8264367)
Bronx,BRUCKNER BLVD SR APPROACH TO HUNTS POINT AVE,HUNTS PT AV,159.4891304347826,40.8208037,-73.89088120000001,POINT (-73.89088120000001 40.8208037)
Bronx,BRUCKNER BOULEVARD,Bruckner Expressway,104.30208333333333,40.8251489,-73.8672458,POINT (-73.8672458 40.8251489)
Bronx,BRUCKNER BOULEVARD,CENSUS BOUNDARY,123.30945558739255,40.8239682,-73.8771375,POINT (-73.8771375 40.8239682)
Bronx,BRUCKNER BOULEVARD,Dead End,135.07945205479453,40.8239682,-73.8771375,POINT (-73.8771375 40.8239682)
Bronx,BRUCKNER BOULEVARD,Dead end,130.83586337760912,40.8239682,-73.8771375,POINT (-73.8771375 40.8239682)
Bronx,BRUCKNER BOULEVARD,Hunts Point Avenue,226.6439393939394,40.81994350000001,-73.8904467,POINT (-73.8904467 40.81994350000001)
Bronx,BRUCKNER BOULEVARD,Sheridan Ep Nb En Hunts Pt Av,243.48,40.8166365,-73.8939177,POINT (-73.8939177 40.8166365)
Bronx,BRUCKNER BOULEVARD,Whittier Street,90.66666666666667,40.8224475,-73.8858715,POINT (-73.8858715 40.8224475)
Bronx,BRUCKNER EXPRESSWAY,Dead End,794.994140625,40.8251489,-73.8672458,POINT (-73.8672458 40.8251489)
Bronx,BRUSH AVENUE,Lafayette Avenue,23.557142857142857,40.8247016,-73.8391838,POINT (-73.8391838 40.8247016)
Bronx,BRYANT AVE BET E 173RD & E 172ND STS,E 172 ST,19.924675324675324,40.8357422,-73.8920553,POINT (-73.8920553 40.8357422)
Bronx,BRYANT AVE&JENNINGS ST SB AP BT E172ND ST&JENNINGS,JENNINGS ST,50.28403001071811,40.8323962,-73.8926361,POINT (-73.8926361 40.8323962)
Bronx,BURKE AV,COLDEN AV,35.69548872180451,40.8713026,-73.8594261,POINT (-73.8594261 40.8713026)
Bronx,BURKE AV,HONE AV,34.986111111111114,40.8712591,-73.8575541,POINT (-73.8575541 40.8712591)
Bronx,BURKE AVENUE,Dead End,30.385416666666668,40.8712439,-73.8536455,POINT (-73.8536455 40.8712439)
Bronx,BURR AVE APPR WESTCHESTER AVE/BRUCKNER BLVD,WESTCHESTER AV,45.0,40.8532383,-73.82603639999999,POINT (-73.82603639999999 40.8532383)
Bronx,BURR AVE BET PELHAM PKWY S & 196TH ST,E 196 ST,69.25,40.8573398,-73.8516315,POINT (-73.8516315 40.8573398)
Bronx,BX PARK EAST NB APPROACH TO ALLERTON,MACE AV,70.0,40.8630051,-73.8558067,POINT (-73.8558067 40.8630051)
Bronx,BX PARK EAST NB EXIT TO ALLERTON AVE,MACE AV,85.51465416178195,40.86539370000001,-73.8672655,POINT (-73.8672655 40.86539370000001)
Bronx,BX PARK EAST SB APPROACH TO ALLERTON AVE,ALLERTON AV/SOUTHERN BLVD/MOSHOLU PARKWAY GREENWAY,121.64285714285714,40.86539370000001,-73.8672655,POINT (-73.8672655 40.86539370000001)
Bronx,BX RIVER PKWY NB EXIT 6,BRONX RIVER PKWY,36.46590909090909,40.9270133,-73.8409516,POINT (-73.8409516 40.9270133)
Bronx,Bronx River Parkway,E 238 St,1928.2526041666667,40.8995504,-73.8684058,POINT (-73.8684058 40.8995504)
Bronx,CITY IS BRIDGE,Dead End,83.92339688041595,40.8604807,-73.8029736,POINT (-73.8029736 40.8604807)
Bronx,CITY ISLAND AVENUE,Beach Street,18.59375,40.8519997,-73.78905449999999,POINT (-73.78905449999999 40.8519997)
Bronx,CITY ISLAND BR,CENSUS BOUNDARY,112.2,40.847256,-73.7864952,POINT (-73.7864952 40.847256)
Bronx,CLAY AVENUE,East 169 Street,22.629464285714285,40.8341849,-73.90961519999999,POINT (-73.90961519999999 40.8341849)
Bronx,CLAY AVENUE,East Mt Eden Avenue,30.967261904761905,40.8431182,-73.9104374,POINT (-73.9104374 40.8431182)
Bronx,CO OP CITY APPROACH TO BARTOW AVE,BARTOW AV,87.93107932379714,40.8691177,-73.8302124,POINT (-73.8302124 40.8691177)
Bronx,CO OP CITY BLVD APPROACH TO BARTOW AVE,ASCH LOOP,58.39306666666667,40.869192,-73.8305069,POINT (-73.8305069 40.869192)
Bronx,CO OP CITY BLVD APPROACH TO BARTOW AVE,BARTOW AV,86.9859756097561,40.8691177,-73.8302124,POINT (-73.8302124 40.8691177)
Bronx,CO OP CITY BLVD APPROACH TO BAYCHESTER AVE,NEW ENGLAND THRWY EXIT NB,20.50877192982456,40.8757691,-73.83572869999999,POINT (-73.83572869999999 40.8757691)
Bronx,CO OP CITY BLVD APPROACH TO PEAR TREE AVE,PEARTREE AV,22.0,40.8831074,-73.8246134,POINT (-73.8246134 40.8831074)
Bronx,CO OP CITY BLVD APPROACH TO ROMBOUTS AVE,ROMBOUTS AV,47.538011695906434,40.8851732,-73.830302,POINT (-73.830302 40.8851732)
Bronx,CO-OP CITY BOULEVARD,Asch Loop,73.0,40.8703718,-73.82579969999999,POINT (-73.82579969999999 40.8703718)
Bronx,COLGATE AV,BRUCKNER BLVD,2.0421686746987953,40.82311079999999,-73.880759,POINT (-73.880759 40.82311079999999)
Bronx,COLGATE AV,LAFAYETTE AV,12.153132250580047,40.8191851,-73.8798284,POINT (-73.8798284 40.8191851)
Bronx,COLONIAL AVE APPROACHING PELHAM PKWY SO,E 196 ST,3.8411214953271027,40.8573398,-73.8516315,POINT (-73.8516315 40.8573398)
Bronx,CONCORD AVENUE,East 142 Street,7.139136904761905,40.8077724,-73.910228,POINT (-73.910228 40.8077724)
Bronx,CONCOURSE LINE,Connector,2.3947368421052633,40.8613635,-73.897716,POINT (-73.897716 40.8613635)
Bronx,CONTINENTAL AVE APPROACH PELHAM PKWY SO,PELHAM PKWY S/HUTCH RIVER PKWY E,1.0,40.8573398,-73.8516315,POINT (-73.8516315 40.8573398)
Bronx,COURTLANDT AVENUE,Melrose Houses Pedestrian Path,33.901785714285715,40.820654,-73.9177132,POINT (-73.9177132 40.820654)
Bronx,CROSS BRONX EP SB EN JEROME AV,Jerome Avenue,156.890625,40.8345616,-73.8658927,POINT (-73.8658927 40.8345616)
